ID,custcat,region,marital,churn,monthly_revenue,expected_tenure,CLV,sf_12m
1,Basic service,Zone 2,Married,Yes,25,93.7500757076985,2343.7518926924627,0.9393064928488697
2,Total service,Zone 3,Married,Yes,65,99.4522389756669,6464.395533418348,0.9444723894389593
3,Plus service,Zone 3,Married,No,45,544.6533698256965,24509.401642156343,0.997978354149439
4,Basic service,Zone 2,Unmarried,Yes,25,45.45416454658062,1136.3541136645156,0.8421907001998499
5,Plus service,Zone 2,Married,No,45,127.43746849505953,5734.686082277679,0.962486213284307
6,Plus service,Zone 2,Unmarried,No,45,159.86519322266383,7193.933695019872,0.9744784226973705
7,E-service,Zone 3,Married,Yes,35,37.18838752468196,1301.5935633638685,0.8029678597761037
8,Total service,Zone 2,Unmarried,No,65,27.108174432784217,1762.031338130974,0.7304069477797066
9,Plus service,Zone 3,Married,No,45,340.3323112258671,15314.95400516402,0.9941397699587218
10,E-service,Zone 1,Married,No,35,391.4537275673927,13700.880464858745,0.9956789706431238
11,Basic service,Zone 2,Unmarried,Yes,25,18.00281764979764,450.07044124494104,0.6200581994853321
12,Plus service,Zone 3,Unmarried,No,45,76.32976763800318,3434.839543710143,0.9183536570298542
13,Basic service,Zone 1,Married,No,25,72.01356422691848,1800.339105672962,0.9115277263880964
14,Total service,Zone 2,Married,Yes,65,248.99647277765618,16184.770730547652,0.9888434706440711
15,Basic service,Zone 2,Unmarried,No,25,49.90009329492965,1247.5023323732412,0.8585476790016209
16,E-service,Zone 1,Married,No,35,102.86800187731939,3600.3800657061784,0.9472670007217949
17,Plus service,Zone 3,Unmarried,No,45,762.4184536231007,34308.83041303953,0.9991205951934097
18,Plus service,Zone 3,Unmarried,No,45,122.269424133019,5502.124085985855,0.9598633034717338
19,Basic service,Zone 2,Unmarried,No,25,22.19479979439382,554.8699948598455,0.6784477005585785
20,Total service,Zone 1,Married,Yes,65,31.204140620530143,2028.2691403344593,0.7642598369155603
21,E-service,Zone 3,Unmarried,Yes,35,39.543613697688244,1384.0264794190884,0.815551209249444
22,Basic service,Zone 1,Married,No,25,177.29753269523536,4432.438317380884,0.9787760611582573
23,Total service,Zone 3,Unmarried,No,65,31.196428307667762,2027.7678399984045,0.7642024974674114
24,Basic service,Zone 3,Married,No,25,166.69644302223355,4167.411075555839,0.9762964882385788
25,Plus service,Zone 3,Married,No,45,302.4073439608683,13608.330478239073,0.9924802670528344
26,Plus service,Zone 2,Unmarried,No,45,39.78388736593803,1790.2749314672112,0.8167648575849584
27,Total service,Zone 2,Unmarried,No,65,35.5027995431881,2307.6819703072265,0.7931269567654837
28,Plus service,Zone 3,Married,No,45,155.0504708752662,6977.271189386979,0.9730770854655879
